Years At Company,Employees,Employees_Left,Attrition_Rate
0,42,16,0.38095238095238093
1,162,57,0.35185185185185186
2,123,26,0.21138211382113822
3,119,20,0.16806722689075632
4,105,18,0.17142857142857143
5,191,20,0.10471204188481675
6,74,9,0.12162162162162163
7,89,11,0.12359550561797752
8,78,9,0.11538461538461539
9,79,8,0.10126582278481013
10,115,16,0.1391304347826087
11,30,2,0.06666666666666667
12,13,0,0.0
13,23,2,0.08695652173913043
14,16,1,0.0625
15,19,1,0.05263157894736842
16,12,1,0.08333333333333333
17,9,1,0.1111111111111111
18,13,1,0.07692307692307693
19,10,1,0.1
20,27,1,0.037037037037037035
21,13,1,0.07692307692307693
22,14,1,0.07142857142857142
23,2,1,0.5
24,6,1,0.16666666666666666
25,4,0,0.0
26,4,0,0.0
27,2,0,0.0
29,2,0,0.0
30,1,0,0.0
31,3,1,0.3333333333333333
32,3,1,0.3333333333333333
33,5,1,0.2
34,1,0,0.0
36,2,0,0.0
37,1,0,0.0
40,1,1,1.0
